1) 0.0	: 19.64969602801709
303) 140.48437796670956	: 14.662649238764521
304) 140.94955802620197	: 14.213116825409509
305) 141.41473808569438	: 15.581605808880692
306) 141.8799181451868	: 16.209113363330204
307) 142.34509820467923	: 13.10636503666224
308) 142.81027826417164	: 16.10391729938907
309) 143.27545832366405	: 16.295805461832163
310) 143.74063838315647	: 13.710608604343046
311) 144.20581844264888	: 17.017928646365693
312) 144.6709985021413	: 15.234704815457846
313) 145.13617856163373	: 15.73977812014754
314) 145.60135862112614	: 14.562645424246165
315) 146.06653868061855	: 15.114789938428226
316) 146.53171874011096	: 15.352572106269111
317) 146.99689879960337	: 14.005316089261973
318) 147.46207885909578	: 14.096978334719273
319) 147.92725891858822	: 13.341004966041277
320) 148.39243897808063	: 14.207229824634897
321) 148.85761903757304	: 16.94674557101048
322) 149.32279909706546	: 16.170255643561234
323) 149.78797915655787	: 16.448988841695808
324) 150.25315921605028	: 15.06595468379445
325) 150.71833927554272	: 15.008437081773184
326) 151.18351933503513	: 15.011922273640584
327) 151.64869939452754	: 13.505636971499623
328) 152.11387945401995	: 12.744735181272036
329) 152.57905951351236	: 14.862582477908152
330) 153.04423957300477	: 15.520770117801746
331) 153.50941963249718	: 15.557354039624872
332) 153.97459969198962	: 14.69857946356169
333) 154.43977975148204	: 16.33358370055343
334) 154.90495981097445	: 15.555953478113938
335) 155.37013987046686	: 15.14952017513985
336) 155.83531992995927	: 14.058633109329785
337) 156.30049998945168	: 16.066937475253365
338) 156.76568004894412	: 14.831315001188184
339) 157.23086010843653	: 15.485986078265892
340) 157.69604016792894	: 14.71907461451524
341) 158.16122022742135	: 13.321809190514173
342) 158.62640028691376	: 15.860025629180274
343) 159.09158034640618	: 15.607259968787849
344) 159.55676040589861	: 16.561564354865126
345) 160.02194046539103	: 16.148762094809978
346) 160.48712052488344	: 14.313677493281237
347) 160.95230058437585	: 15.462912906535584
348) 161.41748064386826	: 14.33781544308673
349) 161.88266070336067	: 15.346713164942178
350) 162.3478407628531	: 13.955476997413914
351) 162.81302082234552	: 13.186039552020635
352) 163.27820088183793	: 15.57638585916033
353) 163.74338094133034	: 14.598769817121042
354) 164.20856100082275	: 15.12271336435106
355) 164.67374106031517	: 14.506644053162836
356) 165.1389211198076	: 16.099222224208493
357) 165.60410117930002	: 14.908661767710646
358) 166.06928123879243	: 15.116527405989041
359) 166.53446129828484	: 14.396423608193123
360) 166.99964135777725	: 14.884682989291429
361) 167.46482141726966	: 15.515826079206821
362) 167.9300014767621	: 13.504319597643534
363) 168.3951815362545	: 15.632021810912457
364) 168.86036159574692	: 15.133614357053983
365) 169.32554165523933	: 15.396549573920904
366) 169.79072171473175	: 14.76554450880658
367) 170.25590177422416	: 15.860240755516994
368) 170.72108183371657	: 15.656856429724183
369) 171.186261893209	: 15.241589072542903
370) 171.65144195270142	: 14.6901995647077
371) 172.11662201219383	: 15.808376071425354
372) 172.58180207168624	: 15.46872799459446
373) 173.04698213117865	: 14.782519955036785
